date,userid,tweet,lang
2022-08-27 23:59:14+00:00,ce6e346d22d81db5a242c33be0466bb7441143dda55109ddbc77aab198605e8e,"it's been 1 and 3/4 years not having covid-19, vaccines 3 times now, and still having covid-19tested today and results is... i have covid-19. i'm doomed.so long.",en
2022-08-27 23:58:16+00:00,83f0c9c42a80dedb6cd9a00b2d172ea6574fd5620b498524d1d7a0cb963556d9,U.S. donating COVID-19 vaccines to Mexico as domestic demand drops https://t.co/8AYIcsSz1f,en
2022-08-27 23:56:44+00:00,07351a776d12742a4b98daca8e396480cee4ea7571378a940e002dce2e82bbf9,US donates COVID-19 vaccines to Mexico as domestic demand falls https://t.co/AfNdN3rueq,en
2022-08-27 23:56:41+00:00,f38ae759f5585daab0949e5e1b3a5f549026c3d2d73e7cca99b009e9e8e5029f,"@777TheKuMaR Vaccine Packaged Insert July 8, 2022:The significant known and potential risks and benefits of the Pfizer-BioNTech COVID-19 Vaccine, and the extent to which such risks and benefits are unknown.https://t.co/OWe8GDdV2s",en
2022-08-27 23:55:43+00:00,f38ae759f5585daab0949e5e1b3a5f549026c3d2d73e7cca99b009e9e8e5029f,@777TheKuMaR It’s all scripted. Look here. SPARS Pandemic Scenario:Date completed: October 2017SPARS = SARS = SARS-CoV-1 = SARS-CoV-2 = COVID-19Recovery:Chapter Seventeen: Vaccine Injury (Page 59) https://t.co/vXbzIsPNcw,en
2022-08-27 23:54:12+00:00,58afeb71ec6f44d47721973a2a51cf169026c3d2d73e7cca99b009e9e8e5029f,U.S. donating COVID-19 vaccines to Mexico as domestic demand drops https://t.co/B4ThaoJCAu,en
2022-08-27 23:54:05+00:00,30f509b7835a1b6256adf2e906cc2552101fac41e00179e45ad8fd405591b3ae,Moderna sues Pfizer and BioNTech over COVID-19 vaccine patents https://t.co/bEhqoLVPAR,en
2022-08-27 23:52:57+00:00,94b79ba833af016014fa0dc09ace94e3fc263b530f3bb46c34fb01a0d913f37e,U.S. donating COVID-19 vaccines to Mexico as domestic demand drops https://t.co/7krr4A67Ki,en
2022-08-27 23:51:57+00:00,5c2bd08d9561b43c762ee6e0e9de1f76d66b609fd8016c399ea2d8e8bcdece5e,@UMonline It was that Prime Minister that brought in the Covid-19 vaccines in June 2021. A declaration was announced in Feb 2021 on the decision to handle Covid-19 via mass inoculation.,en
2022-08-27 23:51:39+00:00,b71b836079d29d46a0987b0aa45fc32cdb27bcfadd0c2cf3362d9bc76f9b77ac,"Washington, DC Delays COVID-19 Vaccine Mandate for Students After Ruling https://t.co/Zf4hF88HxT",en
2022-08-27 23:46:50+00:00,db62c955d61d6d36c2ccd2f062d807c6,Beware on Fake COVID-19 Vaccines https://t.co/8npugMSvYn,en
2022-08-27 23:46:43+00:00,9dc8d9f8a4b4a6a9d45ec18486824f2f,"@WebbNFlow1 @Angry_Staffer Why do you think this admin. has abandoned Covid 19 Healthcare? Plenty of vaccines &amp; meds to lessen severe symptoms, ads still run to get vaccines...what else can they do short of hog-tying people to inject them? Many issues to fix due to the lack of action from previous admin.",en
2022-08-27 23:46:37+00:00,6e8a13201f7522ffcd26eb0fa255dae4471f4b3c174dcd22524e9be438c39c52,End game of Covid-19 vaccine revelations probably by spring of 2024 ......TRUMP COVID VACCINE HARMFUL AND DEADLY https://t.co/p4bH7NAbqD,en
2022-08-27 23:43:25+00:00,68952c9570054f3acfd27593e71400cd,@ArtKorenevsky If you can give &amp; receive COVID-19 with or without being vaccinated... why would you get the vaccine?,en
2022-08-27 23:42:52+00:00,f38ae759f5585daab0949e5e1b3a5f549026c3d2d73e7cca99b009e9e8e5029f,"@NobodymrRobert Vaccine Packaged Insert July 8, 2022:The significant known and potential risks and benefits of the Pfizer-BioNTech COVID-19 Vaccine, and the extent to which such risks and benefits are unknown.https://t.co/OWe8GDdV2s",en
2022-08-27 23:42:37+00:00,c19ed86dc484ad5cd918e1d4355c2412eb34c5c9c92d9caad1cba53e01d55638,"@RaheemKassam @stacyhrae This is a non-news. All they did was put COVID-19 upon a list of 20 diseases ""eligible"" for this program. If anything, it validates the c19 vaccine as the other 19 entries are not exp treatments. Left and right, both politicalizing and weaponizing the vaccine. 🙄",en
2022-08-27 23:42:03+00:00,ddd7ee3d7037e97ec9a920aa158b0d7f48fb04c37caca38aa352ce136fd54809,"@7002Rosscoe @skeindubh1 @HonAhmedHussen @cafreeland Generally, no. When all of society can be effected so detrimentally by the philistinism (ignorance, is that better?) of a minority, a mandate is appropriate, as it was for the Small Pox vaccine. And there’s the ignorance. COVID-19 is extremely contagious.",en
2022-08-27 23:42:01+00:00,1e49112eaf26dcafbd1da27f047fee28,COVID-19 Vaccine event in MinneapolisAugust 30 - 10 a.m. – 2 p.m. Pfizer/Moderna Harbor Light Center 1010 Currie Ave Minneapolis MN 55403 https://t.co/2zeg4s5AEz,en
2022-08-27 23:41:19+00:00,6d2959b52662a0ef7792983f81d0a830,COVID-19 Vaccine event in MinneapolisAugust 30 - 10 a.m. – 2 p.m. Pfizer/Moderna Harbor Light Center 1010 Currie Ave Minneapolis MN 55403 https://t.co/I4ftROrFUC,en
2022-08-27 23:40:02+00:00,39d4d7a9ef73904ba51ccf80e031a535,You’re less likely to spread #COVID19 to your teachers and classmates if you’re up to date with your COVID vaccine.RAHC offers COVID-19 vaccines and boosters to anyone aged six months and older. Visit https://t.co/M6U22Yji0o to learn more and pre-register for an appt. https://t.co/Z8HIKAMI4U,en
2022-08-27 23:39:12+00:00,13ea2c98639a8ad48b3d0f9a219718df,Moderna sues Pfizer/BioNTech for patent infringement over COVID-19 vaccine https://t.co/vY7hiw3c3B,en
