date,userid,tweet,lang
2022-08-26 23:59:42+00:00,d078624bfce0739ce45ab1afcbb22fae8d3a7c578c0d6f03320210bae9d5c6cc,"The British Government Has Begun Paying $140,000 for COVID-19 Vaccine Damage Victimshttps://t.co/7kye5AIC03Should come out of Fauci's bank account",en
2022-08-26 23:56:31+00:00,b7851f4fa74c5ad65eb82c40893a7c5c,"@SocietalCanary @reneecallier @WaitingOnBiden Considering that SCOTUS didn't consider COVID-19 a workplace threat when it overturned Biden's OSHA vaccine mandate in 2021 (still dealing with Delta), I'm very skeptical they would consider COVID today a national emergency to fit the bill's text.",en
2022-08-26 23:55:24+00:00,2e992e7c58880cec495cd39eb687343da00d8f97162d26bd2c0ea0f27884f120,💥One 🐍company going after another 🐍company...🚨Moderna sues Pfizer and BioNTech over patents behind COVID-19 vaccine https://t.co/VgJ1RKad9H,en
2022-08-26 23:55:09+00:00,abaacf029673ce14e8ec9142a4cfaeb7,Moderna sues Pfizer/BioNTech for patent infringement over COVID-19 vaccine /via @globeandmail https://t.co/TDPWmmBH3Z,en
2022-08-26 23:54:25+00:00,11b184cafab42a7602364798ddbf1d31,🔊 @AndrejPlenkovic @MichealMartinTD @Xavier_Bettel @sanchezcastejon @jacindaardern Thanks for supporting #VaccineEquity through COVID-19. Will you join #GlobalCitizenFestival and pledge funds to the @WHO mRNA Tech Hub to empower developing regions to produce their own vaccines?,en
2022-08-26 23:54:23+00:00,59cc57e524d04e109347052957cd99c4,@DanAlbas @CanadianPM @PierrePoilievre @CPC_HQ We're also waiting on you and your party to denounce @LeslynLewis for comparing COVID-19 vaccines to Nazi atrocities!🤬#CdnPoli  #CPC #CPCNonsense#CPCldrhttps://t.co/eHWhxWLRE2,en
2022-08-26 23:52:04+00:00,e47f1374af9f44df84b6cfe15d469f52,@rjriess1 @judyannaggie Wait until DC @MayorBowser is forced to pay millions to COVID-19 vaccine-damaged citizens bcz she forced them to get vaxxed. Then she’ll be thanking all those who didn’t.,en
2022-08-26 23:51:24+00:00,5f50dc1eeb99bab07a5b36912754cbf3,COVID-19 Vaccines and Informed Consent https://t.co/NRmMzj6YPQ,en
2022-08-26 23:51:21+00:00,353ef26260d8614f381b3c1538edc7044d2086facbc60fe60d03741a1e09481c,"UK financial compensation for individuals and families who have been harmed by the COVID-19 vaccine, despite repeated claims by U.S. corporate media denying any negative health impacts of the vaccines created by their largest advertisers. https://t.co/qIMHiih10O",en
2022-08-26 23:51:08+00:00,56130f5219e9abce4dcaff7316b4b51a,@JacquieNlgirl They’re experts at fear-mongering about vaccines and ignoring the negative health consequences of Covid-19. 🤦🏻‍♂️,en
2022-08-26 23:50:14+00:00,baa21e309f9f1d3bc0a3073de943b5a06f9adb7e2f20c44c9a9f890951e3fc3d,🔊 @AndrejPlenkovic @MichealMartinTD @Xavier_Bettel @sanchezcastejon @jacindaardern Thanks for supporting #VaccineEquity through COVID-19. Will you join #GlobalCitizenFestival and pledge funds to the @WHO mRNA Tech Hub to empower developing regions to produce their own vaccines?,en
2022-08-26 23:50:00+00:00,06cfd1bcdbca415359dc9effb00d2a5f,"Michigan - Ypsilanti mutual aid event Pull Over Prevention works to decrease unnecessary traffic stopsFree car repairs, COVID-19 vaccines, and more will be provided at the Pull Over Prevention and Mutual Aid Fair on Sept. 10 https://t.co/vPlohVo3tW @TheEasternEcho https://t.co/4yUGzekyoD",en
2022-08-26 23:49:29+00:00,ea1f68234d75a94feca7ae7d75228704a1b3b33e55e43c625bf935e6b97829c4,Been waiting for this since 2021.moderna was first and it was apparent immediately that everyone else copied moderna.CNN: Moderna files patent infringement lawsuits against Pfizer and BioNTech over mRNA Covid-19 vaccines.https://t.co/NskO4yQU2Mvia @GoogleNews,en
2022-08-26 23:47:11+00:00,385f5a8bddf708b8d344ec8c030836075368ac508ef4897090f22ca1a126b5cb,"Moderna sues Pfizer, BioNTech for patent infringement over COVID-19 vaccine https://t.co/wfzh2OdyZn",en
2022-08-26 23:46:32+00:00,0d38c6b817857033a26532818f045f4e,"A mayoral candidate who spread misinformation and conspiracy theories about the Covid-19 vaccine also lied about having an Emmy, and said she helped a woman who had failed to conceive with IVF become pregnant through meditation. https://t.co/mUzM8pdYoR",en
2022-08-26 23:46:13+00:00,3d7e019eb83471addd62bb143f174700,🔊 @AndrejPlenkovic @MichealMartinTD @Xavier_Bettel @sanchezcastejon @jacindaardern Thanks for supporting #VaccineEquity through COVID-19. Will you join #GlobalCitizenFestival and pledge funds to the @WHO mRNA Tech Hub to empower developing regions to produce their own vaccines?,en
2022-08-26 23:46:03+00:00,8a63b7d4722ec25daa9dd4800d1a8280,Widespread Claims Misrepresent Effectiveness of COVID-19 Vaccines https://t.co/4sarEBOoEG #DebunkingViralClaims https://t.co/lgJubLB4K9,en
2022-08-26 23:44:28+00:00,7cf7089f9380a2e7921106d7b2596eac9d88f393a4b92c54796ffd2d39921abd,Moderna sues rival COVID-19 vaccine makers Pfizer and BioNTech https://t.co/UcU18KDmfg via @AJEnglish,en
2022-08-26 23:44:17+00:00,f340b40dcb614d385b091d0cbe283aee,"@iLoveJaneAdams I was vacced as well and I still got COVID-19. It's not a vaccine, it's a super spreader. Apparently it is even dangerous to some people.",en
2022-08-26 23:44:02+00:00,bb854df180a2f4545c5483771d1e63b3d36ea370d61b91913fe3b04d379b57b4,@GovRonDuhSantis @tedcruz It's evil bc Covid-19 was created 2 destroy &amp; divide us &amp; that's what the left has always wanted!!..Those Covid-19 vaccines are evil..,en
2022-08-26 23:43:40+00:00,b680bd6a65603d2da5a097ecf8c7f14ba815038668c3ab14759786c8af4ea424,🔊 @AndrejPlenkovic @MichealMartinTD @Xavier_Bettel @sanchezcastejon @jacindaardern Thanks for supporting #VaccineEquity through COVID-19. Will you join #GlobalCitizenFestival and pledge funds to the @WHO mRNA Tech Hub to empower developing regions to produce their own vaccines?,en
2022-08-26 23:42:32+00:00,bd064f27d72a485b79b84fcbaf398d9f,Pfizer 'surprised' by Moderna COVID-19 vaccine patent lawsuit - AOL https://t.co/cCschxULBN,en
2022-08-26 23:42:26+00:00,12a65eeca710680eb56c6a411b81fb5c,CDC backs use of Novavax COVID-19 vaccine for teens https://t.co/RqsFmw86RI,en
2022-08-26 23:41:58+00:00,961c8511e66d84256cd260fb7b7be914,"Moderna sued Pfizer and its German partner BioNTech for patent infringement in the development of the first COVID-19 vaccine approved in the United States, alleging they copied technology that Moderna developed years before the pandemic. | @Reuters https://t.co/IcvUEQvaUu",en
2022-08-26 23:41:15+00:00,2550a26ac9b27b200fd240f76b9e1ecb,Coronavirus Update: Moderna sues Pfizer/BioNTech for patent infringement over COVID-19 vaccine https://t.co/LTIVqhAfmA,en
2022-08-26 23:40:35+00:00,1134ba120f872a8013627e9698aa8a37a7e20130b6e6689f33af014d807e4b52,Moderna sues Pfizer for allegedly copying COVID-19 vaccine technology https://t.co/sDGK6d3Glb,en
2022-08-26 23:38:34+00:00,56130f5219e9abce4dcaff7316b4b51a,"It’s been well over a year since my first Covid-19 vaccine. I’m starting to think that I was duped and ripped off.I was promised DNA-changing mutant powers by anti-vaxxers and yet, here I sit, powerless.",en
2022-08-26 23:37:40+00:00,1db7b8cbb088d7e6abaea3ecb3a622a9622fdfe66ef97d53711f4efec1dcc988,"@Rectitude2022 @Chrisbr63640791 Yes.""(READ) CDC allegedly failed to perform promised 'routine surveillance' of Covid-19 vaccine adverse events""1/2https://t.co/0KvIjCwcvl",en
2022-08-26 23:36:52+00:00,4b866be3eecaa6edac1210500fdd7d04573c30fcc0fd979f19cff310fbfcd784,Pfizer/BioNTech ‘surprised’ by Moderna lawsuit alleging they copied their COVID-19 vaccine technology | Fortune https://t.co/TDebXe3yul,en
